Method,RLSDSPCA,SDSPCA,RgLPCA,gLSPCA,gLPCA,PCA
1,0.352020021,0.358973389,0.356070469,0.324568048,0.324568048,0.325117499
5,0.896839129,0.865749762,0.777756984,0.771548968,0.771548968,0.778945448
10,0.897344541,0.905714106,0.89147418,0.885633082,0.885633082,0.893759376
15,0.884860069,0.885221392,0.874541326,0.873259275,0.873259275,0.876501652
20,0.898022773,0.900311732,0.885256587,0.887056037,0.887056037,0.878097049
25,0.902061035,0.893136225,0.882380971,0.873349257,0.873349257,0.857203332
30,0.903026115,0.887269489,0.8953659,0.883511924,0.883511924,0.860363951
35,0.884126253,0.880055342,0.871099381,0.865207416,0.865207416,0.854727567
40,0.872119363,0.894775043,0.852106665,0.863555563,0.863555563,0.858462574
45,0.870265073,0.885367336,0.867086023,0.843728443,0.843728443,0.849594522
50,0.86682143,0.884823858,0.865076767,0.847980851,0.847980851,0.841893716
55,0.860525746,0.858819085,0.855802839,0.847444244,0.846849006,0.845162789
60,0.84408236,0.850439724,0.849182935,0.851815719,0.851815719,0.83283915
65,0.847740627,0.835888861,0.847079076,0.849910696,0.849910696,0.803779847
70,0.852584634,0.823969649,0.843573961,0.833162031,0.833162031,0.778963677
75,0.845771866,0.779773821,0.831784766,0.823975099,0.823431621,0.754530014
80,0.839120727,0.764088086,0.82077571,0.822240253,0.822240253,0.737252424
85,0.815859343,0.740543814,0.805275074,0.801317953,0.801317953,0.729785793
90,0.802960435,0.736503698,0.799502343,0.79899384,0.79899384,0.71889457
95,0.79731041,0.741296205,0.801784512,0.786446817,0.786446817,0.703612101
100,0.78663817,0.730849039,0.770100629,0.776252978,0.776252978,0.709921206
